COMMUNE,,,AIRE_KM2,POPES2021,DANSI2021,PC_POV,Elvaj_Venal,VALUE_US,PC_3kmLekol,PC_3kmSant,latitude,longitude,la,lo,arcgis_address,score,location.x,location.y,extent.xmin,extent.ymin,extent.xmax,extent.ymax,DEPARTEMENT
Abricots,,,102.7841,28430,274.25,64.50,1894210,66.63,0.00,65.00,18.6347425,-74.3848419,18.61620026,-74.31185154,"Abricots, Jérémie, Grand'Anse",100,-74.3848419,18.6347425,-74.4448419,18.5747425,-74.3248419,18.6947425,Grande Anse
Acul du Nord,,,187.5544,58344,308.33,63.67,3250188,55.71,0.33,29.33,19.68075,-72.31978,19.64991685,-72.33384741,"Acul du Nord, Akil di Nò, Nord",100,-72.31978,19.68075,-72.32778,19.67275,-72.31178,19.68875,Nord
Anse Rouge,,,430.9689,77180,178.50,64.50,4169182,54.02,1.50,33.50,19.63382,-73.0553,19.63120735,-72.94329105,"Anse Rouge, Gros Morne, Département de l'Artibonite",100,-73.0553,19.63382,-73.0643,19.62482,-73.0463,19.64282,Artibonite
Anse à Foleur,,,70.334,22125,320.00,73.67,656639,29.68,1.67,6.33,19.8600851,-72.6252376,19.86352591,-72.6229727,"Anse-à-Foleur, Saint Louis du Nord, Nord-Ouest",100,-72.6252376,19.8600851,-72.6792376,19.8060851,-72.5712376,19.9140851,Nord Ouest
Anse-d'Ainault,,,102.4287,25903,328.00,60.00,1512363,58.39,0.50,11.25,18.484311,-74.450054,18.46106586,-74.44179142,"Anse d'Hainault, D'Anse d'Hainault, Grand'Anse",94.29,-74.450054,18.484311,-74.517054,18.417311,-74.383054,18.551311,Grande Anse
Anse-à-Galet,,,373.5423,109399,289.00,65.17,8550206,78.16,0.50,50.83,18.83449,-72.86644,18.79373493,-72.9204732,"Anse à Galet, La Gonâve, Departement de l'Ouest",100,-72.86644,18.83449,-72.87744,18.82349,-72.85544,18.84549,Ouest
Anse-à-Pitre,,,181.657,23335,139.50,68.00,1159670,49.70,0.00,32.50,18.05,-71.75,18.17946062,-71.78456171,"Anse-à-Pitre, Arrondissement de Belle Anse, Département du Sud-Est",100,-71.75,18.05,-71.756,18.044,-71.744,18.056,Sud-Est
Anse-à-Veau,,,106.9324,29548,268.67,54.33,1839521,62.26,0.00,69.67,18.5011,-73.3449,18.46991077,-73.33893547,"Anse-à-Veau, Depatman Grandans",100,-73.3449,18.5011,-73.3509,18.4951,-73.3389,18.5071,Nippes
Aquin,,,641.6652,365835,718.10,55.00,3817713,10.44,12.70,55.60,18.2809104,-73.3944363,18.29979661,-73.25267102,"Aquin, D'Aquin, Sud",100,-73.3944363,18.2809104,-73.5574363,18.1179104,-73.2314363,18.4439104,Sud
Arcahaie,,,410.3393,185395,699.83,50.17,9194733,49.60,10.17,40.00,19.81667,-72.91667,18.86402613,-72.52701076,"Arcahaie, Port-de-Paix, Nord-Ouest",100,-72.91667,19.81667,-72.92567,19.80767,-72.90767,19.82567,Ouest
Arnaud,,,74.0732,18259,245.00,58.67,924020,50.61,0.00,41.00,18.4490095,-73.3861441,18.44362135,-73.38160265,"Arnaud, L'Anse à Veau, Nippes",100,-73.3861441,18.4490095,-73.4431441,18.3920095,-73.3291441,18.5060095,Nippes
Arniquet,,,8.9355,5580,624.00,69.00,328821,58.93,0.00,1.00,18.1382582,-73.893352,18.1415405,-73.89272359,"Arniquet, Port-Salut, Sud",100,-73.893352,18.1382582,-73.912352,18.1192582,-73.874352,18.1572582,Sud
Bahon,,,79.2242,24791,294.67,58.67,727577,29.35,2.33,64.00,19.4704309,-72.1152182,19.47119173,-72.12681032,"Bahon, Grande Riviere du Nord, Nord",100,-72.1152182,19.4704309,-72.1782182,19.4074309,-72.0522182,19.5334309,Nord
Baie de Henne,,,204.2886,25759,154.00,66.00,1040118,40.38,2.50,38.50,19.6644912,-73.2101475,19.69944577,-73.20109597,"Baie de Henne, Môle Saint Nicolas, Nord-Ouest",100,-73.2101475,19.6644912,-73.2991475,19.5754912,-73.1211475,19.7534912,Nord Ouest
Bainet,,,300.1693,70729,232.11,64.11,3210243,45.39,5.33,78.44,18.183986,-72.7530863,18.22927929,-72.79059344,"Bainet, Sud-Est",100,-72.7530863,18.183986,-72.8570863,18.079986,-72.6490863,18.287986,Sud-Est
Baradères,,,187.949,33764,196.80,66.80,1914509,56.70,0.20,70.20,18.4831218,-73.6398026,18.47125219,-73.68829323,"Baradères, Baraderes, Nippes",100,-73.6398026,18.4831218,-73.7298026,18.3931218,-73.5498026,18.5731218,Nippes
Bas Limbé,,,52.4725,25018,545.00,60.00,900508,35.99,0.00,37.00,19.7721177,-72.3838167,19.74877749,-72.39790662,"Bas Limbé, Limbé, Nord",100,-72.3838167,19.7721177,-72.4298167,19.7261177,-72.3378167,19.8181177,Nord
Bassin Bleu,,,213.8473,62241,313.33,59.33,2009926,32.29,0.00,38.67,19.7796612,-72.797307,19.78577962,-72.83659595,"Bassin Bleu, Port-de-Paix, Nord-Ouest",100,-72.797307,19.7796612,-72.890307,19.6866612,-72.704307,19.8726612,Nord Ouest
Beaumont,,,167.6417,30901,175.33,65.00,3100729,100.34,0.00,58.00,18.46377935,-73.99284119,18.46377935,-73.99284119, ,100,-94.1020101,30.0861523,-94.2080101,29.9801523,-93.9960101,30.1921523,Grande Anse
Belladère,,,300.5011,100802,327.33,57.67,2881022,28.58,2.67,58.67,18.8587702,-71.8076509,18.86090559,-71.81897624,"Belladère, Lascahobas, Centre",100,-71.8076509,18.8587702,-71.9086509,18.7577702,-71.7066509,18.9597702,Centre
Belle Anse,,,383.774,57320,149.29,62.86,5471298,95.45,0.43,36.57,18.2361949,-72.0670692,18.27891625,-72.08781814,"Belle Anse, Sud-Est",100,-72.0670692,18.2361949,-72.1920692,18.1111949,-71.9420692,18.3611949,Sud-Est
Bombardopolis,,,186.8654,44471,287.33,62.67,2962487,66.62,2.67,12.33,19.6917386,-73.3418415,19.69205801,-73.36195315,"Bombardopolis, Môle Saint Nicolas, Nord-Ouest",100,-73.3418415,19.6917386,-73.4218415,19.6117386,-73.2618415,19.7717386,Nord Ouest
Bonbon,,,34.5425,8602,249.00,59.00,396672,46.11,0.00,28.00,18.63076246,-74.23752947,18.63076246,-74.23752947, ,100,124.6476528,8.5049569,124.6396528,8.4969569,124.6556528,8.5129569,Grande Anse
Borgne,,,182.1332,42448,223.71,65.57,2357841,55.55,0.29,59.57,19.8443334,-72.5234521,19.79738911,-72.58413072,"Borgne, Nord",100,-72.5234521,19.8443334,-72.6154521,19.7523334,-72.4314521,19.9363334,Nord
Boucan Carré,,,354.9211,70663,198.67,66.00,4157151,58.83,7.67,82.33,18.9251301,-72.1468668,18.95883355,-72.1591861,"Boucan Carré, Mirebalais, Centre",100,-72.1468668,18.9251301,-72.2718668,18.8001301,-72.0218668,19.0501301,Centre
Cabaret,,,205.2266,93972,551.75,54.00,4179633,44.48,0.00,36.75,18.7739809,-72.3943815,18.75600065,-72.40401361,"Cabaret, L'Arcahaie, L'Ouest",100,-72.3943815,18.7739809,-72.4853815,18.6829809,-72.3033815,18.8649809,Ouest
Camp Perrin,,,126.9033,50128,426.00,56.67,1875101,37.41,0.33,19.00,18.350283,-73.858118,18.33600018,-73.8637638,"Camp-Perrin, Les Cayes, Sud",100,-73.858118,18.350283,-73.927118,18.281283,-73.789118,18.419283,Sud
Cap Haïtien,,,54.0459,265715,5359.67,44.67,327433,1.23,0.00,4.33,19.75938,-72.19815,19.747155,-72.21618049,"Cap-Haïtien, Cap-Haitien, Département du Nord",100,-72.19815,19.75938,-72.24815,19.70938,-72.14815,19.80938,Nord
Capotille,,,61.0939,21193,337.00,58.00,795344,37.53,0.00,19.00,19.4474865,-71.692726,19.43784037,-71.71286608,"Capotille, Ouanaminthe, Nord-Est",100,-71.692726,19.4474865,-71.752726,19.3874865,-71.632726,19.5074865,Nord Est
Caracol,,,78.082,9384,136.50,62.50,425799,45.38,15.50,21.50,19.683681,-72.00455724,19.683681,-72.00455724, ,100,-43.3282839,-9.2820306,-43.5902839,-9.5440306,-43.0662839,-9.0200306,Nord Est
Carice,,,56.2171,18187,333.00,51.50,485610,26.70,0.00,72.00,19.3784564,-71.8318023,19.35857963,-71.82610327,"Carice, Vallières, Nord-Est",100,-71.8318023,19.3784564,-71.9058023,19.3044564,-71.7578023,19.4524564,Nord Est
Carrefour,,,164.5603,406255,2534.23,60.46,1939819,4.77,0.00,29.38,18.54114,-72.39922,18.4738149,-72.41282527,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114,Ouest
Cavaillon,,,228.7386,84464,348.20,57.40,2906944,34.42,0.00,37.40,18.2988202,-73.6546662,18.35048991,-73.63261369,"Cavaillon, D'Aquin, Sud",100,-73.6546662,18.2988202,-73.7506662,18.2028202,-73.5586662,18.3948202,Sud
Cayes-Jacmel,,,80.2053,33743,437.75,67.25,1026458,30.42,0.00,34.00,18.230359,-72.3960355,18.27285025,-72.40646578,"Cayes Jacmel, Jacmel, Sud-Est",100,-72.3960355,18.230359,-72.4520355,18.174359,-72.3400355,18.286359,Sud-Est
Cerca Carvajal,,,156.0806,19932,128.00,64.00,1182874,59.35,1.00,47.00,19.2698435,-71.9383429,19.26037128,-71.93961728,"Cerca Carvajal, Hinche, Centre",100,-71.9383429,19.2698435,-72.0203429,19.1878435,-71.8563429,19.3518435,Centre
Cerca la Source,,,361.0569,49516,142.67,59.00,4588443,92.67,19.67,80.33,19.1670064,-71.7901865,19.19407547,-71.74590793,"Cerca-la-Source, Cerca la Source, Centre",100,-71.7901865,19.1670064,-71.7971865,19.1600064,-71.7831865,19.1740064,Centre
Chambellan,,,73.5216,17533,259.00,66.50,1398370,79.76,0.00,5.00,18.5503249,-74.313616,18.52090793,-74.32755807,"Chambellan, Jérémie, Grand'Anse",100,-74.313616,18.5503249,-74.365616,18.4983249,-74.261616,18.6023249,Grande Anse
Chansolme,,,53.7545,27339,510.50,62.00,1503489,54.99,0.00,38.00,19.8531176,-72.8409957,19.85833999,-72.81150191,"Chansolme, Port-de-Paix, Nord-Ouest",100,-72.8409957,19.8531176,-72.8829957,19.8111176,-72.7989957,19.8951176,Nord Ouest
Chantal,,,151.0795,39648,340.67,64.33,2532088,63.86,1.67,41.67,18.2009002,-73.8891544,18.25242962,-73.94423957,"Chantal, Les Cayes, Sud",100,-73.8891544,18.2009002,-73.9861544,18.1039002,-73.7921544,18.2979002,Sud
Chardonnières,,,114.8591,22418,239.00,71.00,1227233,54.74,0.33,36.67,18.2744433,-74.1654853,18.32273899,-74.11368293,"Chardonnières, Chardonnieres, Sud",100,-74.1654853,18.2744433,-74.2444853,18.1954433,-74.0864853,18.3534433,Sud
Cité Soleil,,,21.419,173122,8644.00,43.50,1331896,7.69,0.00,0.00,18.5935228,-72.3241814,18.59413078,-72.31982128,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228,Ouest
Corail,,,108.5326,14985,131.33,65.67,2510029,167.50,0.00,67.67,18.49459415,-73.92981119,18.54268734,-73.91839613,"Corail, Grand'Anse",100,-73.92981119,18.49459415,-74.10581119,18.31859415,-73.75381119,18.67059415,Grande Anse
Cornillon / Grand-Bois,,,224.3191,59013,268.60,65.80,4174236,70.73,0.80,66.00,18.6795864,-71.954207,18.68082492,-71.92063501,"Grand-Bois, Croix-des-Bouquets, L'Ouest",100,-71.954207,18.6795864,-72.049207,18.5845864,-71.859207,18.7745864,Ouest
Cote-de-Fer,,,175.6319,39689,237.33,64.33,1981314,49.92,0.00,15.50,18.18872,-73.00287,18.24518647,-72.9329782,"Cote de Fer, Département du Sud-Est",100,-73.00287,18.18872,-73.00887,18.18272,-72.99687,18.19472,Sud-Est
Coteaux,,,71.2284,20009,278.67,69.67,892470,44.60,0.00,70.67,18.2423768,-74.02425837,18.24349762,-74.02663711,"Côteaux, Sud",100,-74.02425837,18.2423768,-74.11525837,18.1513768,-73.93325837,18.3333768,Sud
Croix-des-Bouquets,,,643.6452,531610,1289.60,54.20,7434790,13.99,20.40,49.00,18.57677,-72.22625,18.55942471,-72.19999016,"Croix-des-Bouquets, Arrondissement de la Croix-des-Bouquets, Departement de l'Ouest",100,-72.22625,18.57677,-72.29125,18.51177,-72.16125,18.64177,Ouest
Dame-Marie,,,100.9175,28986,301.80,68.60,1277163,44.06,0.00,36.20,18.5612851,-74.4189098,18.5516244,-74.39567785,"Dame Marie, D'Anse d'Hainault, Grand'Anse",100,-74.4189098,18.5612851,-74.4879098,18.4922851,-74.3499098,18.6302851,Grande Anse
Delmas,,,26.0411,349633,13426.00,25.00,262241,0.75,0.00,0.00,18.5581224,-72.2971561,18.55430447,-72.29764752,"Delmas, Port-au-Prince, L'Ouest",100,-72.2971561,18.5581224,-72.3321561,18.5231224,-72.2621561,18.5931224,Ouest
Desdunes,,,101.6623,38906,383.00,58.00,607346,15.61,0.00,73.00,19.2935662,-72.6478853,19.31113894,-72.69017797,"Desdunes, Dessalines, L'Artibonite",100,-72.6478853,19.2935662,-72.7218853,19.2195662,-72.5738853,19.3675662,Artibonite
Dessalines / Marchand,,,469.628,233872,553.50,56.17,5593268,23.92,4.00,30.00,19.26177,-72.51611,19.2114092,-72.47192579,"Dessalines, Département de l'Artibonite",100,-72.51611,19.26177,-72.53211,19.24577,-72.50011,19.27777,Artibonite
Dondon,,,120.3834,48651,400.20,65.80,631637,12.98,0.00,53.00,19.5282377,-72.2430787,19.52359249,-72.26844881,"Dondon, Saint Raphael, Nord",100,-72.2430787,19.5282377,-72.3040787,19.4672377,-72.1820787,19.5892377,Nord
Ennery,,,212.6634,60789,289.00,60.50,1539918,25.33,5.50,64.00,19.4892049,-72.4823688,19.49083701,-72.483717,"Ennery, Gonaives, L'Artibonite",100,-72.4823688,19.4892049,-72.5883688,19.3832049,-72.3763688,19.5952049,Artibonite
Ferrier,,,68.2753,16102,236.00,58.00,740080,45.96,0.00,10.00,19.6152978,-71.7790523,19.64112558,-71.77056887,"Ferrier, Fort-Liberte, Nord-Est",100,-71.7790523,19.6152978,-71.8290523,19.5652978,-71.7290523,19.6652978,Nord Est
Fonds des Nègres,,,85.7701,34912,394.75,59.50,1525939,43.71,0.00,30.75,18.3799312,-73.233958,18.38236052,-73.25552684,"Fonds des Nègres, Miragoane, Nippes",100,-73.233958,18.3799312,-73.297958,18.3159312,-73.169958,18.4439312,Nippes
Fonds-Verrettes,,,287.256,95722,333.00,56.00,2489028,26.00,1.00,52.00,18.39428,-71.8528597,18.35087447,-71.84028038,"Fonds-Verrettes, Croix-des-Bouquets, L'Ouest",100,-71.8528597,18.39428,-71.9658597,18.28128,-71.7398597,18.50728,Ouest
Fort Liberté,,,237.3333,45428,165.25,64.25,1630716,35.90,1.25,58.25,19.660536,-71.8335818,19.55469147,-71.86578179,"Fort-Liberté, Fort-Liberte, Nord-Est",100,-71.8335818,19.660536,-71.9445818,19.549536,-71.7225818,19.771536,Nord Est
Ganthier,,,492.1084,184216,515.40,56.00,4861446,26.39,6.60,53.00,18.5315325,-72.06656,18.50271612,-72.03906308,"Ganthier, Croix-des-Bouquets, L'Ouest",100,-72.06656,18.5315325,-72.20456,18.3935325,-71.92856,18.6695325,Ouest
Gonaïves,,,568.1916,349293,674.60,58.80,4248204,12.16,0.60,46.20,19.4440519,-72.6902148,19.50947328,-72.62065617,"Gonaïves, Gonaives, L'Artibonite",100,-72.6902148,19.4440519,-72.8562148,19.2780519,-72.5242148,19.6100519,Artibonite
Grand Boucan,,,45.1837,2857,82.50,69.50,716714,250.86,0.00,58.00,18.5533296,-73.5919406,18.56613841,-73.65891841,"Grand-Boucan, Baraderes, Nippes",100,-73.5919406,18.5533296,-73.6499406,18.4953296,-73.5339406,18.6113296,Nippes
Grand Gosier,,,79.5716,11819,149.00,59.00,1066583,90.24,0.00,25.00,18.2657976,-71.9074223,18.26177579,-71.90257579,"Grand Gosier, Belle Anse, Sud-Est",100,-71.9074223,18.2657976,-71.9684223,18.2047976,-71.8464223,18.3267976,Sud-Est
Grand-Goâve,,,245.5864,87604,367.86,61.14,4409014,50.33,0.71,40.29,18.4182808,-72.7296867,18.34947954,-72.74834275,"Grand-Gôave, Léogane, L'Ouest",100,-72.7296867,18.4182808,-72.8236867,18.3242808,-72.6356867,18.5122808,Ouest
Grande Riviere du Nord,,,126.4247,45079,369.17,58.83,957469,21.24,5.00,57.83,19.51786619,-72.14708436,19.55251364,-72.16327047,"Grande Riviere du Nord, Nord",100,-72.14708436,19.51786619,-72.24808436,19.41686619,-72.04608436,19.61886619,Nord
Grande Saline,,,51.9965,29404,565.00,56.00,295152,10.04,0.00,50.00,19.2502198,-72.7067587,19.25863669,-72.7025957,"Grande Saline, Dessalines, L'Artibonite",100,-72.7067587,19.2502198,-72.7667587,19.1902198,-72.6467587,19.3102198,Artibonite
Gressier,,,89.6127,76625,998.00,41.00,2595732,33.88,0.00,10.00,18.5386508,-72.4856259,18.51325011,-72.50205025,"Gressier, Port-au-Prince, L'Ouest",100,-72.4856259,18.5386508,-72.5366259,18.4876508,-72.4346259,18.5896508,Ouest
Gros Morne,,,397.5368,176726,462.38,54.88,4075872,23.06,0.00,33.63,19.6670602,-72.6704704,19.70400584,-72.68826218,"Gros Morne, L'Artibonite",100,-72.6704704,19.6670602,-72.7904704,19.5470602,-72.5504704,19.7870602,Artibonite
Hinche,,,582.503,179053,300.75,54.25,8978374,50.14,3.00,64.00,19.1447745,-72.0099921,19.13999086,-72.0069801,"Hinche, Centre",100,-72.0099921,19.1447745,-72.1669921,18.9877745,-71.8529921,19.3017745,Centre
Ile à Vache,,,45.9627,13791,300.00,54.00,1029092,74.62,0.00,34.00,18.07171,-73.64153,18.07746028,-73.63531723,Île-à-Vache,100,-73.64153,18.07171,-73.69053,18.02271,-73.59253,18.12071,Sud
Jacmel,,,441.9674,209104,394.36,61.45,4760521,22.77,2.45,57.09,18.23427,-72.53539,18.309159,-72.51340025,"Jacmel, Département du Sud-Est",100,-72.53539,18.23427,-72.58539,18.18427,-72.48539,18.28427,Sud-Est
Jean Rabel,,,484.1181,198114,472.14,58.43,6163876,31.11,1.43,27.57,19.850239,-73.1893536,19.82130831,-73.16059549,"Jean Rabel, Môle Saint Nicolas, Nord-Ouest",100,-73.1893536,19.850239,-73.3173536,19.722239,-73.0613536,19.978239,Nord Ouest
